SYMBOL	GENE	emt.e9.0h.S13	emt.e9.0h.S01	emt.e9.2h.S14	emt.e9.2h.S02	emt.e9.4h.S15	emt.e9.6h.S03	emt.e9.6h.S16	emt.e9.12h.S04	emt.e9.24h.S17	emt.e9.24h.S05	emt.e9.36h.S18	emt.e9.36h.S06	emt.e9.48h.S19	emt.e9.48h.S07	emt.e9.60h.S20	emt.e9.60h.S08	emt.e9.72h.S21	emt.e9.72h.S09	emt.e9.96h.S22	emt.e9.96h.S10	emt.e9.7d.S23	emt.e9.7d.S11	emt.e9.10d.S24	emt.e9.10d.S12
4933401J01Rik	ENSMUSG00000102693.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.979106634515888	0.0	1.06629180944506	3.46013681765888	0.95918481957299	0.0	1.00117925996893	0.0	0.89924718821669	1.99202592418281	1.80241878483969	0.0
Gm26206	ENSMUSG00000064842.1	6.95507022109055	1.93459114799388	10.9223730878984	2.00589141263221	9.70822919624356	4.88082923381831	5.04678633399468	3.17832616352294	7.46076028030477	2.44426650176443	8.52177024841314	0.0	22.5194525938654	1.09776758480254	24.5247116172364	1.38405472706355	7.67347855658392	0.996624691764065	2.00235851993787	3.0511273190862	0.89924718821669	3.98405184836561	5.40725635451906	4.66143366693663
Xkr4	ENSMUSG00000051951.5	1.15917837018176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0658228971864	1.22213325088222	0.0	0.0	0.979106634515888	0.0	3.19887542833519	0.0	0.95918481957299	0.996624691764065	1.00117925996893	3.0511273190862	6.29473031751683	3.98405184836561	4.50604696209922	3.7291469335493
Gm37329	ENSMUSG00000103201.1	1.15917837018176	6.77106901797857	0.0	0.0	0.970822919624356	0.0	0.0	0.0	1.0658228971864	0.0	1.06522128105164	0.0	0.979106634515888	0.0	0.0	0.0	0.95918481957299	0.0	2.00235851993787	0.0	0.0	0.0	0.901209392419844	0.0
Gm7341	ENSMUSG00000103147.1	13.9101404421811	23.2150937759265	16.880031135843	35.1030997210637	24.2705729906089	33.1896387899645	23.2152171363755	41.3182401257982	28.7772182240327	59.8845292932286	39.4131873989108	51.7093925216343	33.2896255735402	60.3772171641396	34.121337902242	41.5216418119066	38.3673927829196	69.7637284234845	27.0318400191612	40.681697587816	74.6375166219853	61.752803649667	82.9112641026256	77.379798871148
Rp1	ENSMUSG00000025900.11	11.5917837018176	9.67295573996938	5.9576580479446	7.02061994421273	8.73740627661921	0.0	3.02807180039681	2.11888410901529	0.0	6.11066625441108	3.19566384315493	2.58546962608172	3.91642653806355	8.78214067842031	21.3258361889012	3.46013681765888	14.3877722935948	24.9156172941016	37.0436326188505	34.5794429496436	49.458595351918	36.8524795973819	72.9979607860073	65.2600713371128
Gm6101	ENSMUSG00000102948.1	1.15917837018176	0.0	1.98588601598153	0.0	0.970822919624356	0.0	3.02807180039681	0.0	1.0658228971864	1.22213325088222	0.0	1.29273481304086	1.95821326903178	0.0	0.0	4.84419154472244	4.79592409786495	5.97974815058439	0.0	1.0170424396954	2.69774156465007	4.98006481045702	0.901209392419844	0.0
Gm7357	ENSMUSG00000102269.1	6.95507022109055	10.6402513139663	4.96471503995383	5.01472853158052	0.970822919624356	8.78549262087296	3.02807180039681	5.29721027253823	6.39493738311837	7.33279950529329	5.32610640525821	10.3418785043269	1.95821326903178	10.9776758480254	8.53033447556049	15.9166293612309	11.5102178348759	18.9358691435172	11.0129718596583	18.3067639145172	8.9924718821669	10.9561425830054	3.60483756967937	12.1197275340352
Gm22307	ENSMUSG00000096126.1	10.4326053316358	1.93459114799388	24.8235751997692	2.00589141263221	10.6790521158679	2.92849754029099	22.2058598695766	2.11888410901529	10.658228971864	7.33279950529329	24.5000894641878	7.75640887824515	26.435879131929	6.58660550881523	15.9943771416759	5.53621890825422	26.8571749480437	7.97299753411252	21.0247644593476	7.11929707786781	17.9849437643338	3.98405184836561	18.0241878483969	4.66143366693663
Gm37323	ENSMUSG00000104328.1	4.63671348072704	2.90188672199081	0.0	2.00589141263221	0.0	0.0	0.0	2.11888410901529	0.0	1.22213325088222	0.0	1.29273481304086	0.0	0.0	2.13258361889012	0.692027363531777	0.95918481957299	1.99324938352813	2.00235851993787	3.0511273190862	0.0	0.0	0.901209392419844	0.932286733387326
Gm7369	ENSMUSG00000102735.1	0.0	0.0	0.992943007990766	1.0029457063161	5.82493751774614	0.0	2.01871453359787	1.05944205450765	0.0	2.44426650176443	0.0	2.58546962608172	2.93731990354766	3.29330275440762	1.06629180944506	2.07608209059533	0.95918481957299	6.97637284234845	1.00117925996893	5.08521219847701	1.79849437643338	5.97607777254842	0.901209392419844	5.59372040032395
Gm6085	ENSMUSG00000098104.1	126.350442349812	81.2528282157428	114.188445918938	128.377050408461	116.498750354923	90.7834237490206	131.216444683862	93.2309007966729	118.30634158769	107.547726077635	147.000536785127	102.126050230228	105.743516527716	105.385688141044	135.419059799523	87.8874751685357	88.2450034007151	86.7063481834736	96.1132089570176	80.3463527359367	83.6299885041522	76.6929980810381	91.0221486344042	66.1923580705001
Gm6119	ENSMUSG00000102175.1	13.9101404421811	10.6402513139663	13.9012021118707	17.0500770073738	18.4456354728628	6.83316092734563	20.1871453359787	4.23776821803059	13.8556976634231	2.44426650176443	5.32610640525821	11.6346133173677	16.6448127867701	18.6620489416432	18.126960760566	20.7608209059533	14.3877722935948	14.949370376461	16.0188681595029	12.2045092763448	9.89171907038359	12.9481685071882	12.6169314938778	15.8488744675845
Gm25493	ENSMUSG00000088000.1	34.7753511054528	26.1169804979173	30.7812332477138	21.0618598326382	21.3581042317358	8.78549262087296	16.149716268783	8.47553643606118	11.7240518690504	12.2213325088222	14.913097934723	5.17093925216343	5.87463980709533	4.39107033921015	13.8617935227858	17.9927114518262	4.79592409786495	7.97299753411252	7.00825481978253	3.0511273190862	1.79849437643338	0.996012962091404	0.0	1.86457346677465
Gm2053	ENSMUSG00000103265.1	1.15917837018176	2.90188672199081	0.0	3.00883711894831	0.0	1.95233169352732	1.00935726679894	3.17832616352294	2.13164579437279	1.22213325088222	0.0	1.29273481304086	0.979106634515888	0.0	3.19887542833519	1.38405472706355	1.91836963914598	0.0	0.0	0.0	0.0	1.99202592418281	0.0	0.0
Gm6123	ENSMUSG00000103922.1	275.884452103259	283.417603181103	286.960529309331	296.871929069567	260.180542459327	246.969959231206	251.329959432935	203.412874465468	254.731672427549	189.430653886743	253.522664890291	201.666630834374	175.260087578344	188.816024586037	207.926902841787	228.369029965486	225.408432599653	204.308061811633	245.288918692389	169.846087429132	175.353201702255	192.230501683641	226.203557497381	193.915640544564
Mrpl15	ENSMUSG00000033845.13	2982.56594647767	2580.74459142383	2628.32014215156	2389.01667244496	2794.99918559852	2563.41151360138	2630.38503727803	2431.41951509505	2656.0306597885	2196.17345183534	2160.26875797273	2046.39920904368	2216.69742054397	2005.62137743424	2704.11602875268	2169.50578467212	2322.18644818621	1946.40802301522	2181.56960747231	1908.98865930827	1823.67329770345	1808.75953915799	2032.22717990675	1849.65687904045
Gm37144	ENSMUSG00000102275.1	40.5712429563616	58.0377344398163	34.7530052796768	56.1649595537019	35.9204480261012	59.5461166525834	32.2994325375659	40.2587980712906	35.1721556071511	58.6623960423464	52.1958427715305	45.2457184564301	58.7463980709533	32.9330275440762	42.6516723778025	65.7425995355188	21.1020660306058	29.8987407529219	26.0306607591923	36.6135278290344	29.6751572111508	28.8843759006507	23.4314442029159	28.9008887350071
